Movie_ID,Title,Director,Cast,Year,Genre
1917,Ammajan,Kazi Hayat,"Shabnam, Manna, Moushumi, Amin Khan, Dipjol",1999,Drama
1918,Shrabon Megher Din,Humayun Ahmed,"Zahid Hasan, Meher Afroz Shaon, Mukti, Mahfuz Ahmed, Golam Mostafa",1999,Drama
1919,Ananta Bhalobasha,Sohanur Rahman Sohan,"Shakib Khan, Erin Zaman, Abul Hayat, Dolly Zahur, Rajib, Nasir Khan",1999,"Action, Romance"
1920,Bagher Thaba,Sohel Rana,"Masum Parvez Rubel, Moushumi, Champa, Ali Raz, Humayun Faridi",1999,"Action, Romance"
1921,Biyer Phul,Matin Rahman,"Riaz, Shabnur, Shakil Khan, Kabori Sarwar, Ahmed Sharif",1999,Romance
1922,Dhor,Kazi Hayat,"Manna, Eka, Bobita, Dipjol, Mizu Ahmed",1999,Action
1923,Dushmon Dunia,Shafiqul Islam,"Manna, Moushumi, Humayun Faridi, Amit Hasan, Shahnaz, Anwara, Dildar, Nasir Khan",1999,Action
1924,Ke Amar Baba,Montazur Rahman Akbar,"Manna, Popy, Rajib, Humayun Faridi",1999,"Action, Romance"
1925,Raagi,Gazi Mazharul Anwar,"Masum Parvez Rubel, Popy, Bobita, Razzak, ATM Shamsuzzaman",1999,"Action, Romance"
1926,Tomar Jonno Pagol,Shilpi Chakraborti,"Riaz, Shabnur, Amit Hasan, ATM Shamsuzzaman, Dildar",1999,Romance
