Movie_ID,Title,Director,Cast,Year,Genre
2014,Dabang,Azad Khan,"Zayed Khan, Bindia, Amit Hasan",2014,"Action, Romance"
2015,Daag Ei Buker Bhetor,Bazlur Rashed Chowdhury,"Jibon Islam, Pina",2014,"Action, Romance"
2016,Ki Darun Dekhte,Wazed Ali Sumon,"Mahiya Mahi, Bappy Chowdhury, Shah Riaz, Misha Sawdagor",2014,"Action, Romance"
2017,Moner Moddhe Lekha,Mahmud Hossain Murad,"Sagor, Shompa, Amit Hasan",2014,Romance
2018,Tomar Kache Rhini,Shahdat Hossain Liton,"Symon Sadik, Toma Mirza, Bobita",2014,"Romance, Drama"
2019,Agnee,Iftakar Chowdhury,"Mahiya Mahi, Arifin Shuvoo, Misha Sawdagor, Ali Raj",2014,Action
2020,Akash Koto Dure,Samia Zaman,"Ongkon, Faria, Razzak, Misha Sawdagor",2014,Romance
2021,"Lobhe Paap, Paape Mrittu",Shohanur Rahman Shohan,"Riaz, Purnima, Amin Khan, Nasrin, Sadeq Bacchu",2014,"Romance, Drama"
2022,Jibon Dhuli - The Drummer,Tanvir Mokammel,"Shatabdi Wadud, Ramendu Majumdar, Wahida Mollick Jolly",2014,"Drama, War"
2023,Prem Ki Oporadh,Jadu Azad,"Hridoy Chowdhury, Priyanka, Ahmed Sharif",2014,Romance
2024,Kushumpurer Golpo,Ferdous Wahid,"Palash, Moumita, Jasmine",2014,Drama
2025,Are You Listening!,Kamar Ahmad Simon,,2014,documentary film
2026,Shima Rekha,Deowan Nazmul,"Fahim, Faria, Bobita, Rajatava Datta",2014,Romance
2027,Rajotto,Iftakar Chowdhury,"Bobby, Shakib Khan",2014,"Action, Romance"
2028,Anantakaler - Forever,Masum Aziz,"Aysharjyo Birjan, Shuchitra",2014,Romance
2029,1 No. Ashami,Raju Chowdhury,"Masum Parvez Rubel, Poly",2014,Action
2030,Toke Valobashtei Hobe,Raju Chowdhury,"Zayed Khan, Shahara, Rina Khan",2014,"Action, Romance"
2031,Boishommo - Journey of the heart,Adam Doula,"Abir Hossain Ongkon, Adam Doula, Mita Chowdhury",2014,Thriller
2032,71 er Shongram,Munsur Ali,"Anupam Kher, Asia Argento, Amaan Reza,  Dilruba Yasmeen Ruhee",2014,"Romance, War"
2033,Dobir Saheber Songsar ,Jakir Hossain Raju,"Ali Raz, Mahiya Mahi, Bappy Chowdhury",2014,Comedy
2034,Anukrosh,Golam Mostafa Shimul,"Pijush Bandyopadhyay, Keramat Mawla, Raisul Islam Ashad, Riaz Mahmud Jewel",2014,"Drama, War"
2035,Daring Lover,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Misha Sawdagor",2014,"Action, Romance"
2036,Jonakir Alo,Khalid Mahmud Mithu,"Mamnun Hasan Emon, Bidya Sinha Mim",2014,Romance
2037,Maa er Momota,Mostafizur Rahman Babu,"Mamnun Hasan Emon, Nipun Akter, Suchorita",2014,"Romance, Drama"
2038,Jaan,G Sarker,"Mamnun Hasan Emon, Bindia, Amaan, Anna",2014,Romance
2039,Bhalobasha Express,Shafi Uddin Shafi,"Shakib Khan, Apu Biswas, Mim Chowdhury",2014,Romance
2040,Ami Shudhu Cheyechi Tomay ,"Ashok Pati, Anonno Mamun","Ankush Hazra, Subhashree Ganguly, Misha Sawdagor",2014,"Action, Romance"
2041,Kacher Shatru,M A Auwal,"Amin Khan, Nipun Akter, Shomrat",2014,Action
2042,Duti Moner Paglami,Julhash Chowdhury Polash,"Nupur, Romeo",2014,Romance
2043,Fand - The Trap,Shafi Uddin Shafi,"Shakib Khan, Achol, Amit Hasan, Kazi Hayat",2014,"Action, Romance"
2045,Taarkata,Muhammad Mostafa Kamal Raz,"Arifin Shuvoo, Bidya Sinha Mim, Moushumi",2014,"Crime, Thriller"
2046,Nekabborer Mahaprayan,Masud Pathik,"Mamunur Rashid, Prabir Mitra, Shimla, Nirmalendu Goon",2014,Drama
2047,Honeymoon,Shafi Uddin Shafi,"Bappy Chowdhury, Mahiya Mahi",2014,Romance
2048,Most Welcome 2,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Shohel Rana",2014,"Action, Romance"
2049,Mukti,P A Kajal,"Shoccho, Parveen Sultana Diti, Shohel Rana",2014,Drama
2050,Headmaster,Delwar Jahan Jhontu,"Alamgir, Suborna Mustafa, Kayes Arju",2014,Drama
2051,Priya Tumi Shukhi Hou,Geetali Hasan,"Shaila Shabi, Shohel Rana, Ferdous",2014,Romance
2052,I Don't Care,Mohammad Hossain,"Bobby, Bappy Chowdhury",2014,"Action, Romance"
2053,Hero: The Superstar,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Bobby, Bobita, Notun",2014,"Action, Romance"
2054,Bhalobashar Tajmahal,Ahsanullah Moni,"Akash, Hena",2014,Romance
2056,Adrishyo Shotru,Eiyul Raiyan,"Eiyul Raiyan, Shohel Rana, Priya Aman",2014,Action
2057,Olpo Olpo Premer Golpo,Saniat S Hossain,"Niloy Alamgir, Anika Kabir Shokh",2014,"Romance, Action"
2058,Age Jodi Jantam Tui Hobi Por,Montazur Rahman Akbar,"Abhi, Ariyan Shah, Pushpita, Prabir Mitra",2014,Romance
2059,Love Station,Shahdat Hossain Liton,"Bappy Chowdhury, Mishti Jannat,Kazi Hayat, Shahnoor",2014,"Romance, Action"
2060,Tui Shudhu Amar,Raju Chowdhury,"Symon Sadik, Moumita",2014,"Action, Romance"
2061,Bhalobashle Dosh Ki Tate,Khokon Rizbhi,"Nir, Arav Khan, Joy Chowdhury",2014,Romance
2063,Sedin Brishti Chilo,Shaheen Sumon,"Ratna, Sumit (debut)",2014,Horror
2064,Brihonnola,Murad Parvez,"Ferdous Ahmed, Sohana Saba",2014,Drama
2065,Amra Korbo Joy,Ahsan Sorwar,"Ahsan Sadaf, Konica",2014,Horror
2066,Kistimaat,Ashiqur Rahman,"Arifin Shuvoo, Achol, Misha Sawdagor",2014,"Action, Romance"
2067,Kothin Protishodh,Nazrul Islam Khan,"Shakib Khan, Apu Biswas, Misha Sawdagor",2014,"Action, Romance"
2068,Hitman,Wazed Ali Sumon,"Shakib Khan, Apu Biswas, Sujata, Misha Sawdagor",2014,Action
2069,Shera Nayok,Wakil Ahmed,"Shakib Khan, Apu Biswas, Misha Sawdagor, Ali Raz",2014,"Romance, Action"
2070,Time Machine,Symon Jahan,"Ratna, Sourav Sidak, Irene, Modhumoni, Yamin",2014,Fantasy
2071,Ant Story,Mostofa Sarwar Farooki,"Sheena Chohan, Nur Imran Mithu",2014,"Comedy, Drama"
2072,Jane Na E Mon,M A Rahim,"Mamnun Hasan Emon, Jaanvi",2014,"Romance, Action"
2073,My Name is Simi,Montazur Rahman Akbar,"Simi Akter Koli, Zayed Khan, Misha Sawdagor",2014,Action
2074,Horijon,Mirza Shakhwat Hossain,"Rokeya Prachi, Jayanta Chattopadhyay, Mamunur Rashid, Arjumand Ara Bokul",2014,Drama
2075,Onek Sadher Moyna,Jakir Hossain Raju,"Mahiya Mahi, Bappy Chowdhury, Anisur Rahman Milon",2014,"Romance, Drama"
2076,Onek Shadhonar Pore,Abul Kalam Azad,"Nijhum Rubina, Shanto, Prabir Mitra",2014,"Romance, Action"
2077,Shopno Je Tui,Monirul Islam Shohel,"Mamnun Hasan Emon, Achol, Kazi Hayat",2014,Romance
2078,Shorbonasha Ya ba,Kazi Hayat,"Kazi Maruf, Prosun Azad, Kazi Hayat",2014,"Action, Drama"
