,User_name,Review title,Review Rating,Review date,Review_body,Movie_name,Movie_ID
0,adnannizhum,One Time Watch,7,1 November 2021,"It is an average film. One time watch. But Fazlur Rahman Babu is top notch as usual. Others actors performance is average. Editing was fine. Cinematography is also satisfactory.
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Khachar Bhitor Ochin Pakhi,tt15756034
1,SoumikBanerjee25,These kinds of subjects demand a rather serious treatment!,3,20 November 2021,"Another sub-par attempt from the Bengali Industry to do some thoughtful and stirring demonstrations of real-life barbarism. What could have easily been an apt social commentary on such delicate topics, ended up being another one of those expository means; whose sole existence is simply for attending to the core narrative and nothing else.An erratic and rather laid-back execution that never intended to solidify the societal issues nor all the systematic corruptions that lies deep underneath. Instead, it had gone for outrageous leisure and machoism. Even in that particular aspect, it fails to attain the desired mark. All due to its inferior writing and the whole ensemble consisting of nothing but a bunch of monotonous personalities!There was no apparent dearth of talented individuals though, and to be honest, some of them did give their honest efforts and it shows.But then again, what more could an actor do other than what he/she has been instructed to!I blame the lack of vision more than anything else over here.",F.I.R NO. 339/07/06,tt15698592
2,MandalBros-5,A GOOD Bengali Film. 👌,8,30 October 2021,"The story of this film is very simple, a police officer is investigating some murder mysteries. But, this film tried very well to give it a real touch that made the film different from other Bengali films in last few years. The mystery was revealing slowly that made the screenplay engaging. At least you'll not get bored for a moment.Surprisingly loved everyone's performances specially of Ankush. If I say about negative points then I'll say there were some moments which were not that necessary. And you can guess the killer from the 1st half. But, still you'll love the film and I think the film succeeded what it wanted to achieve. Finally, it's really good to see such type of film in Bengali, hope we'll get to see more like this in near future.Available on ZEE5.© MandalBros.",F.I.R NO. 339/07/06,tt15698592
3,shovonbhattachrjee,Good Movie,6,26 October 2021,"The storyline of this movie is good and the acting is also good. This movie has a story, that has some suspense but it is not like a thriller movie. The story of this movie is based on a revenge story but the story is not very much clear. On behalf of acting, this is a good movie but if you tell me about the storyline of this movie, I have some doubts.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",F.I.R NO. 339/07/06,tt15698592
4,anandolodh-96284,Good watch,7,23 October 2021,"Actually this plot is really strong but director couldn't able to keep100% suspense. While watching this one I was predicted something clue by clue. At the end I find myself successful. I think this deserved some better quality making. Clues are very frank to audience and that's very bad. When we enjoy malayam film, directors always give clues but we cnt predict much about twist but thi time he failed.But good watch. You can watch it without boredom. Actually it is one time watchable film. Enjoy...
                
                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",F.I.R NO. 339/07/06,tt15698592
5,dip-48764,Nostalgia,1,15 October 2021,"Regardless of the fact it took me back to my own childhood, every song hit a different chord. The direction was amazing and abstract. It wasn't trying to be anything but was simply trying to explore who Arnob is and what his songs mean to us. Thank you for making this.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Adhkhana Bhalo Chele Adha Mostaan,tt15485940
6,rupam_aditya,Pretty Underwhelming,6,26 September 2021,"Visually pleasing, the songs sound good. That being said, the documentary/musical film didn't feel like a deep dive into the artist's personality as it pretends to be. The narration is very incoherent, doesn't really land anywhere. Didn't quite match my expectation.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Adhkhana Bhalo Chele Adha Mostaan,tt15485940
7,MandalBros-5,An ENJOYABLE Watch With FAMILY.,8,17 October 2021,"First of all, I'll recommend this movie to watch with your family. It had a childish flavour, so children will definitely enjoy it but also will not understand many things. You may find some negative points if you watch it alone. But as it was promoted as a children's film, these can be ignored.Acting wise everyone did their job nicely, I liked Kharaj Mukherjee as Gobu Chandra the most. The dialogues were rhythmic just like we've seen in 'Hirak Rajar Deshe'. Songs were not memorable except 'Bombagorer Golpo', but those were depicting the situation of the story, which was looking good. Finally, it's very rare to see this kind of film, so I think you should definitely watch this but only with your family.© MandalBros.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Hobu Chandra Raja Gobu Chandra Montri,tt15380598
8,asifplay,A good thriller,6,2 October 2021,"Well acted, Good story & very enjoyable. Great acting from CC, Shahidujjaman Salim & Purnima.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
9,senanindya,Disappointed.,3,2 October 2021,"One of worst direction of all time.Chanchal chowdhury shouldn't have agreed to do this project. It's really no way near to his level. After watching unoloukik, my expectations were very high. Watching this really broke my heart.Dialogues, Editing, cinematography, acting (obviously except for chanchal & purnima), production everything really felt very amateur.
                
                    0 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
10,mim_adiba,Good watch!,9,30 September 2021,"Anazing acting from Chanchal Chowdhury.. And also the supporting casts did a good job too.. Great effort by Chorki...
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Munshigiri,tt15245506
