Movie_ID,Title,Director,Cast,Year,Genre
1917,Poka Makorer Ghor Bosoti,Mohammad Akhtaruzzaman,"Bobita, Alamgir, Khaled Khan",1996,Drama
1918,Ajante,Dilip Biswas,"Alamgir, Shabana, Sohel Rana, Suchorita, Riaz, Sonia, ATM Shamsuzzaman",1996,Romance
1919,Dipu Number Two,Morshedul Islam,"Bulbul Ahmed, Bobita, Arun Saha, Shubhashish, Abul Khair, Golam Mostafa, Dolly Zahur",1996,"Adventure, Thriller, Family"
1920,Nirmom,Alamgir,"Shabana, Alamgir, Shabnaz,",1996,Drama
1921,Bichar Hobe,Shah Alam Kiran,"Salman Shah, Shabnur, Dolly Zahur, Anwar Hossain, Humayun Faridi, Dildar",1996,"Drama, Romance"
1922,Ei Ghar Ei Shongshar,Malek Afsary,"Salman Shah, Bristi, Bulbul Ahmed, Rosy Afsari, Ali Raz",1996,Drama
1923,Priyojon,Rana Naser,"Salman Shah, Shilpi, Riaz, Dolly Zahur, Sadek Bacchu, Prabir Mitra, Dildar, Nasrin",1996,Romance
1924,Tomake Chai,Motin Rahman,"Salman Shah, Shabnur, Khalil, Sharmili Ahmed, Ariful Haque",1996,Romance
1926,Shopner Prithibi,Badol Khondokar,"Salman Shah, Shabnur, Bobita, Rajib, Dildar, Amal Bose",1996,Romance
1927,Sotyer Mrittu Nei,Chotku Ahmed,"Salman Shah, Shahnaz, Shabana, Alamgir, Rajib, Raisul Islam Asad",1996,"Romance, Drama"
1928,Jibon Songshar,Jakir Hossain Raju,"Salman Shah, Shabnur, Faruq, Bobita, Misha Sawdagor",1996,"Drama, Romance"
1929,Chaowa Theke Paowa,M M Sarker,"Salman Shah, Shabnur, Dolly Zahur, Prabir Mitra, Dildar, Ahmed Sharif",1996,Romance
1930,Mithyar Mrityu,Chotku Ahmed,"Shabana, Alamgir, Riaz, Sonia",1996,"Drama, Action"
1931,Durjoy,Malek Afsary,"Shabana, Alamgir, Humayun Faridi, Ilias Kanchan, Diti, Rajib",1996,Action
