Movie_ID,Title,Director,Cast,Year,Genre
2015,Jaago – Dare to Dream,Khijir Hayat Khan,"Ferdous Ahmed, Afsana Ara Bindu, Arifin Shuvoo, Tariq Anam Khan, Rownak Hasan, FS Nayeem",2010,"Sports,Drama"
2016,Golapi Ekhon Bilatey,Amjad Hossain,"Moushumi, Mithun Chakraborty, Shabnur, Ferdous Ahmed",2010,Drama
2017,Doriya Parer Doulati,Abdullah Al Mamun,"Manna, Popy, Jasmin Parvez",2010,Drama
2018,Preme Porechi,Shahadat Hossain Liton,"Shakib Khan, Romana, Apu Biswas, Ali Raz, Asif Iqbal",2010,Romance Humayun Faridi
2019,Oshanto Mon,Kazi Hayat,"Kazi Maruf, Sahara, Swagata Bhattacharjee, Kazi Hayat, Misha",2010,"Romance, Action"
2021,Zamindar,Shahin Sumon,"Riaz, Purnima, Shimra, Rubel",2010,Drama
2022,Shei Tufan,Hafiz Uddin,"Ilias Kanchan, Popy, Aman, Keya",2010,Action
2024,Gohine Shobdo,Khalid Mahmud Mithu,"Mamnun Hasan Emon, Kushum Shikdar, Masum Aziz, Haidar Ali Khan",2010,"Drama,Romance"
2028,Khoj: The Search,Iftakar Chowdhury,"Ananta Jalil, Afiea Nusrat Barsha, Bobby, Sohel Rana, Nino, Iftakar Chowdhury",2010,Action
2029,Jonom Jonomer Prem,Shahin Sumon,"Shakib Khan, Apu Biswas",2010,Romance
2032,Bhalobaslei Ghor Bandha Jay Na,Jakir Hossain Raju,"Shakib Khan, Apu Biswas, Romana, Prabir Mitra, Khaleda Akter Kolpona",2010,Romance
2039,Amar Shopno Amar Songsar,F I Manik,"Amin Khan, Purnima, Resi, Dipjol",2010,Romance
2042,Obujh Bou,Nargis Akter,"Ferdous Ahmed, Bobita, Nipun Akter, Shakil Khan, Priyanka",2010,"Romance,Drama"
2043,Rickshawalar Chele,Montazur Rahman Akbar,"Dipjol, Resi, Shomrat, Romana, Razzak",2010,Drama
2050,Mughal-E-Azam,Mizanur Rahman Dipu,"Manna, Shabnur, Sohel Rana, Nasima Khan, Tele Samad, Nasir Khan, Nasrin",2010,"History, Drama"
2051,Bolo Na Tumi Amar,MB Manik,"Shakib Khan, Shokh, Nirab, Toma Mirza, Misha Sawdagor",2010,Romance
2052,...Ebong Kanna,Hossain Maruf,"Ashok Bepari, Shafiqul Hayder",2010,Drama
2054,Durbeen,Zafor Firoze,"Tamim, Zafor Firoze, Kaji Akhtarujjamn",2010,Drama
2055,Ek Joban,F I Manik,"Resi, Dipjol, Anwara, Joy Chowdhury, Lamia Mimo",2010,"Crime, Drama"
2056,Poran Jai Jaliya Re,Sohanur Rahman Sohan,"Shakib Khan, Purnima, Romana, Nodi, Misha Sawdagor, ATM Samshuzzaman",2010,Romance
2057,Bostir Chele Kotipoti,Swapan Chowdury,"Kazi Maruf, Sahara, Shakiba, Aman, Masum Aziz, Misha Sadagor, Dolly Jahur",2010,"Actrion, Drama"
2058,Dubshatar,Nurul Alam Atique,"Joya Ahsan, Ashok Bepari, Sahriar Shuvo, Wahida Mollick Jolly, Shrabastee Tinny",2010,Drama
2061,Pirates - The Blood Secret,Noman Robin,"Ohona, Rashed Mamun, Saju Khadem, Antu Karim",2010,Adventure
2062,Moner Manush,Goutam Ghose,"Prosenjit Chatterjee, Raisul Islam Asad, Chanchal Chowdhury, Paoli Dam, Shahed Ali, Mir Naofil Ashrafi",2010,Drama
2063,Baap Boro Na Shoshur Boro,Shahadat Hossain Liton,"Shomrat, Resi, Razzak, Suchorita, Nipun Akter, Abir Khan",2010,"Comedy, Romance"
2067,Rokto Chosha,Niru Biswas,"Amit Hasan, Poly, Alexandar Bo, Moumita,",2010,Action
2069,Opekkha,Abu Sayeed,"Jayanto Chattapaddhay, Mirana Zaman, Tinu Karim",2010,Drama
