Movie_ID,Title,Director,Cast,Year,Genre
83768145,Abortan,Abu Sayeed,"Abul Hayat, Laki Inam",1988,Drama
83768146,Dui Jibon,Abdullah Al Mamun,"Afzal, Diti",1988,Romance
83768147,Jogajog,Moinul Hossain,"Razzak, Shabnam, Ilias Kanchan, Champa",1988,"Drama,Family"
83768148,Bheja Chokh,Shibly Sadiq,"Ilias Kanchan, Champa",1988,"Drama,Roamnce"
83768149,Pothe Holo Dekha,Hafiz Uddin,"Bobita, Alamgir",1988,Romance
83768150,Hiramoti,Amzad Hossain,"Diti, Sohel Chowdhury",1988,"Drama,Romance"
83768151,Stri,Ikram Bizu,Shabana,1988,"Family,Drama"
83768152,Agomon,Subhash Dutta,"Razzak, Bobita",1988,Drama
83768153,Jibon Dhara,Motin Rahman,"Rozina, Wasim",1988,Romance
83768154,Jantrana,Kazi Hayat,Anju,1988,Drama
83768145,Beder Meye Josna,Tojammel H. Bokul,"Ilias Kanchan, Anju Ghosh",1989,"Romance,Drama"
83768146,Bethar Dan,Kamal Ahmed,"Shabana, Alamgir, Dilara",1989,"Romance,Drama"
83768147,Ranga Bhabi,Matin Rahman,"Shabana, Alamgir, Nutan",1989,"Family,Drama"
83768148,Sattya Mittha,A. J. Mintu,"Shabana, Alamgir, Nutan",1989,"Roamnce,Drama"
83768149,Khotipuran,Malek Afsari,"Alamgir, Rozina, Dilara",1989,"Crime,Drama"
83768150,Biraha Betha,Chashi Nazrul Islam,"Razzak, Bobita, Champa, Sohel Chowdhury",1989,"Romance,Drama"
83768151,Birangana Sokhina,Matin Rahman,"Bobita, Uzzal, Diti",1989,Drama
83768152,Jiner Badshah,Razzak,"Razzak, Bapparaj, Ranjita",1989,"Comedy,Drama"
83768153,Bhaijan,Raihan Mujib,"Shabana, Jashim, Anjana",1989,Drama
83768154,Boner Moto Bon,Darashiko,"Ilias Kanchan, Sunetra",1989,Drama
83768155,Rangin Nabab Sirajuddaulah,Pradip Dey,"Prabir Mitra, Bulbul Ahmed",1989,History
83768156,Bajramusthi,Shahidul Islam Khokan,"Sohel Rana, Suchorita, Rubel",1989,Drama
83768145,Moroner Pore,Mohammad Azharul Islam,"Shabana, Alamgir, Anwara Begum, Golam Mustafa",1990,Drama
83768146,Goriber Bou,Kamal Ahmed,"Shabana, Alamgir, Manna, Aruna Biswas, Anwara Begum",1990,Drama
83768147,Dolna,Shibli Sadik,"Alamgir, Rozina, Khalil",1990,Romance
83768148,Lakhe Ekta,Kazi Kamal,"Farooque, Suchorita, Olivia",1990,Romance
83768149,Chutir Phande,Shahidul Haque Khan,"Golam Mustafa, Uzzal, Jhumur Ganguly, Zafar Iqbal, Rozina",1990,Drama
83768145,Achena,Shibli Sadik,"Alamgir, Shabana, Ilias Kanchan, Champa, Ali Raz, Aruna Biswas",1991,Drama
83768146,Chadni,Ehtesham,"Shabnaz, Nayeem, Sadek Bachchu",1991,Romance
83768147,Danga,Kazi Hayat,"Manna, Suchorita, Rajeeb, Miju Ahmed, Dildar",1991,Action
83768148,Kashem Malar Prem,Mostafa Anwar,"Manna, Champa, Anwar Hossain, Sawkat Akbar, Prabir Mitra, Nasir Khan, Dildar",1991,Romance
